Name,Address,Bedroom,Bathroom,Total_area,Price
Ciputra International 1 Bedroom Ruang Keluarga Luas Balkon Siap Huni,Jakarta Barat,1,1,52 m²," 1,505,000,000"
LRT City Ciracas Tipe 2 BR,"Ciracas, Jakarta Timur",2,1,36 m²," 891,000,000"
LRT City Ciracas Tipe 2 BR-2,"Ciracas, Jakarta Timur",2,1,61 m²," 1,478,000,000"
LRT City Ciracas Tipe Studio,"Ciracas, Jakarta Timur",1,1,24 m²," 625,000,000"
The Newton 2 Tipe 2 Bedroom,"Karet Semanggi, Jakarta Selatan",2,1,60 m²," 3,000,000,000"
The Newton 2 Tipe 1 Bedroom,"Karet Semanggi, Jakarta Selatan",1,1,40 m²," 2,000,000,000"
South Quarter Residence Tipe 2 BR,"Cilandak, Jakarta Selatan",2,2,93 m²," 4,102,912,300"
South Quarter Residence Tipe 2 BR Corner,"Cilandak, Jakarta Selatan",2,2,86 m²," 3,724,637,590"
South Quarter Residence Tipe Studio,"Cilandak, Jakarta Selatan",1,1,30 m²," 1,285,107,825"
South Quarter Residence Tipe Dual Key,"Cilandak, Jakarta Selatan",3,3,117 m²," 5,087,191,630"
Dijual Apartemen Permata Gandaria Type 4 Bedroom Siap Huni,"Gandaria, Jakarta Selatan",4,3,245 m²," 4,600,000,000"
The Newton 2 Tipe Studio,"Karet Semanggi, Jakarta Selatan",1,1,24 m²," 1,100,000,000"
South Quarter Residence Tipe 1 BR + Study,"Cilandak, Jakarta Selatan",1,1,60 m²," 2,617,738,820"
Tower AMSTERDAM Ciputra International 2 BR Double Balkon Siap Huni,,2,2,78 m²," 2,266,900,000"
Apartemen Green Park  View Tower G (Gardenia) tipe STUDIO,"Cengkareng, Jakarta Barat",1,1,24 m²," 250,000,000"
Apartemen siap huni ready full furnished,"Puri Indah, Jakarta Barat",2,1,48 m²," 997,000,000"
Dijual Apartemen Murah 2BR Green Palace tower Mawar Kalibata City,"Kalibata, Jakarta Selatan",2,1,36 m²," 440,000,000"
Apartement Millenial 2 BR dekat Senayan,"Senayan, Jakarta Selatan",2,1,60 m²," 1,800,000,000"
Kalibata City 2BR Gaharu,"Kalibata, Jakarta Selatan",2,1,24 m²," 320,000,000"
"Dijual Strategis Resident apartemen kalibata city,tower akasia",Jakarta Selatan,2,1,33 m²," 355,000,000"
DIJUAL CEPAT B.U APARTEMENT AREA PONDOK INDAH NEGO SAMPAI DEAL,"Pondok Indah, Jakarta Selatan",2,3,148 m²," 13,500,000,000"
Apartemen Mewah di Jakarta Barat - B Residence Grogol Tipe 1 BR,"Kebon Jeruk, Jakarta Barat",1,1,41 m²," 1,243,900,000"
Apartemen Nyaman dan Praktis di Jakarta - Tipe Studio,"Kebon Jeruk, Jakarta Barat",1,1,24 m²," 722,800,000"
