"Name","Address","Bedroom","Bathroom","Total_area","Price","Phone"
"Ciputra International 1 Bedroom Ruang Keluarga Luas Balkon Siap Huni","Jakarta Barat",1,"1","52 m²"," 1,505,000,000","+6288212204495"
"The Newton 2 Tipe 2 Bedroom","Karet Semanggi, Jakarta Selatan",2,"1","60 m²"," 3,000,000,000","+6281191415518"
"The Newton 2 Tipe 1 Bedroom","Karet Semanggi, Jakarta Selatan",1,"1","40 m²"," 2,000,000,000","+6281191507415"
"South Quarter Residence Tipe 2 BR Corner","Cilandak, Jakarta Selatan",2,"2","86 m²"," 3,724,637,590","+6281221143979"
"South Quarter Residence Tipe Dual Key","Cilandak, Jakarta Selatan",3,"3","117 m²"," 5,087,191,630","+6281224814768"
"South Quarter Residence Tipe 2 BR","Cilandak, Jakarta Selatan",2,"2","93 m²"," 4,102,912,300","+6281223589779"
"South Quarter Residence Tipe Studio","Cilandak, Jakarta Selatan",1,"1","30 m²"," 1,300,000,000","+6281221334134"
"The Newton 2 Tipe Studio","Karet Semanggi, Jakarta Selatan",1,"1","24 m²"," 1,100,000,000","+6281195894804"
"South Quarter Residence Tipe 1 BR + Study","Cilandak, Jakarta Selatan",1,"1","60 m²"," 2,617,738,820","+6281225063935"
"Tower AMSTERDAM Ciputra International 2 BR Double Balkon Siap Huni","",2,"2","78 m²"," 2,266,900,000","+6288218565426"
"Di Jual Murah Apartement The Aspen","Cilandak, Jakarta Selatan",2,"1","48 m²"," 990,000,000","+6281511433536"
"Jual Apartemen SQ Res 3 Bedroom di TB. Simatupang Jakarta Selatan","TB Simatupang, Jakarta Selatan",3,"3","117 m²"," 5,300,000,000","+6285893070739"
"BF 15 juta langsung huni","Kota, Jakarta Barat",1,"1","25 m²"," 600,000,000","+6281310293081"
"Apartemen Green Park  View Tower G (Gardenia) tipe STUDIO","Cengkareng, Jakarta Barat",1,"1","24 m²"," 250,000,000","+6281589662390"
"Apartemen siap huni ready full furnished","Puri Indah, Jakarta Barat",2,"1","48 m²"," 997,000,000","+6281901655123"
"jual Apartment 2BR di Holland Village Cempaka Putih Jakarta bisa nego","Cempaka Putih, Jakarta Pusat",2,"2","93 m²"," 1,700,000,000","+6281317694432"
"Dijual Apartmen Studio Fully Furnished  Di Signature Park Cawang Nego","Cawang, Jakarta Timur",1,"1","26 m²"," 700,000,000","+6281311904119"
"apartemen premium bebas DP","TB Simatupang, Jakarta Selatan",1,"1","31 m²"," 1,000,000,000","+6281332216530"
"Apartement Millenial 2 BR dekat Senayan","Senayan, Jakarta Selatan",2,"1","60 m²"," 1,800,000,000","+6282211604303"
"Dijual Apartemen H Residence MT Haryono 1BR fully furnished","MT Haryono, Jakarta Selatan",1,"1","46 m²"," 1,100,000,000","+6282117153429"
"Jual Signature Park Tebet Studio Fully Furnished dan Tersewa","Tebet Timur, Jakarta Selatan",1,"1","23 m²"," 650,000,000","+6281190142973"
"Apartment cicilan 2 jutaan di Jakarta","Pekayon, Jakarta Timur",1,"1","21 m²"," 350,000,000","+6281243388279"
"Apartemen Mewah di Jakarta Barat - B Residence Grogol Tipe 1 BR","Kebon Jeruk, Jakarta Barat",1,"1","41 m²"," 1,243,900,000","+6281225444694"
"Aerium Apartment Tipe 3 Bedroom","Meruya, Jakarta Barat",3,"2","144 m²"," 6,075,662,700","+62 8113025627"
"TURUN HARGA Dijual Cepat Apart Green Lake Sunter Studio Furnish","Sunter, Jakarta Utara",1,"1","22 m²"," 310,000,000","+6285106300526"
"Jual Apartemen Taman Anggrek Residence - Tipe 1 BR , Full Furnished, Murah","Tanjung Duren, Jakarta Barat",1,"1","38 m²"," 1,100,000,000","+6281297164236"
"DIJUAL Apartemen/Penthouse diJakarta Pusat 13 mnt dr Mall Senayan City","Tanah Abang, Jakarta Pusat",4,"3","240 m²"," 4,500,000,000","+6287772558223"
"Dijual Apartemen Murah 2BR Green Palace tower Mawar Kalibata City","Kalibata, Jakarta Selatan",2,"1","36 m²"," 440,000,000","+6282120498696"
"The Elements Apartment Tipe 2 BR","Karet Kuningan, Jakarta Selatan",2,"2","96 m²"," 4,200,000,000","+6281229546839"
"Norrington Suites Apartment Tipe Family Suites","Sunter Jaya, Jakarta Utara",2,"2","60 m²"," 2,010,963,928","+6281228076251"
"The Elements Apartment Tipe 3 BR","Karet Kuningan, Jakarta Selatan",3,"2","139 m²"," 5,500,000,000","+6281227940438"
"Apartemen Daan Mogot City Tipe 2 Bedroom","Kalideres, Jakarta Barat",2,"1","51 m²"," 1,087,687,000","+6287892969488"
"Dijual Murah Apartemen 1 BR Jaktim","Pulo Gadung, Jakarta Timur",1,"1","36 m²"," 684,000,000","+6281222782968"
"The Oak Tower Tipe 2 BR","Pulo Gadung, Jakarta Timur",2,"1","42 m²"," 941,417,000","+6281229252942"
"Apartment baru di Jakarta Selatan / TB Simatupang","Cilandak, Jakarta Selatan",3,"3","117 m²"," 5,000,000,000","+6281804464484"
